bit,baseline_accuracy,avg_accuracy,acc_drop,time_s
0,0.682,0.494,0.188,0.8
1,0.682,0.494,0.188,0.8
2,0.682,0.494,0.188,0.8
3,0.682,0.494,0.188,0.8
4,0.682,0.494,0.188,0.79
5,0.682,0.494,0.188,0.8
6,0.682,0.494,0.188,0.79
7,0.682,0.494,0.188,0.8
8,0.682,0.494,0.188,0.8
9,0.682,0.494,0.188,0.8
10,0.682,0.494,0.188,0.79
11,0.682,0.494,0.188,0.8
12,0.682,0.494,0.188,0.8
13,0.682,0.494,0.188,0.79
14,0.682,0.494,0.188,0.8
15,0.682,0.494,0.188,0.79
16,0.682,0.496,0.186,0.79
17,0.682,0.496,0.186,0.79
18,0.682,0.496,0.186,0.8
19,0.682,0.502,0.18,0.79
20,0.682,0.508,0.174,0.79
21,0.682,0.506,0.176,0.8
22,0.682,0.496,0.186,0.8
23,0.682,0.424,0.258,0.8
24,0.682,0.322,0.36,0.79
25,0.682,0.224,0.458,0.79
26,0.682,0.18,0.502,0.8
27,0.682,0.194,0.488,0.79
28,0.682,0.19,0.492,0.79
29,0.682,0.19,0.492,0.8
30,0.682,0.096,0.586,0.83
31,0.682,0.494,0.188,0.51
